*_id,title,authorname,rating,voters_count,gender,hometown,books_num,works_count,publisher
198,"Immortal Ops Box Set (Immortal Ops, #1-4)",Mandy M. Roth,4.19,4182,female,,10,201,
199,"When Blood Calls (The Shadow Keepers, #1)",J.K. Beck,3.71,2840,female,"Mountainview, California",9,9,Bantam
200,"Kissing Perfect (At the Party, #4)",Lauren Barnholdt,3.45,873,female,,10,64,
201,The Hundred Days (Aubrey & Maturin #19),Patrick O'Brian,4.35,6368,male,"Chalfont St. Peter, Buckinghamshire",10,114,W. W. Norton  Company
202,My Father's Funeral,Rebecca Worl,4,7,,,1,1,
203,"The Dark Flight Down (Book of Dead Days, #2)",Marcus Sedgwick,3.68,1140,,"Kent, England",10,79,Orion Children's Books
204,Chasing Hearts (The Underground #0),Erin R. Bedford,4.31,81,female,,10,66,
205,Shadows of the Heart (The Unicorns #1),Lord' Williams,4.42,24,male,,2,2,Words to a Page Publishers
206,"Trickster's Choice (Daughter of the Lioness, #1)",Tamora Pierce,4.27,56540,female,"South Connellsville, Pennsylvania",10,85,Ember
207,"Jack Absolute (Jack Absolute, #1)",C.C. Humphreys,3.56,769,,Toronto,10,18,Thomas Dunne Books
208,"Flat-Out Love (Flat-Out Love, #1)",Jessica Park,4,55768,female,,10,13,Amazon Digital Services
209,Beast,Marian Churchland,3.7,372,,,10,38,Image Comics
210,Song of the Sparrow,Lisa Ann Sandell,4.06,9447,female,"Wilmington, Delaware",5,5,Scholastic Press
211,"Night Play (Dark-Hunter #5, Were-Hunter #1)",Sherrilyn Kenyon,4.36,48618,,Ft. Benning,10,195,St. Martin's Press
212,Final Passage,Timothy J. Frost,3.34,144,,,1,1,
213,Alice Brown's Lessons in the Curious Art of Dating,Eleanor Prescott,3.58,266,,,7,7,Quercus Publishing Plc
214,Romantic Guerrilla,DS  Kumar,4.14,7,male,,1,1,Amazon
215,"Refugees (The Remaining, #3)",D.J. Molles,4.29,6828,,,10,18,
216,The Rise of Silas Lapham,William Dean Howells,3.42,3476,male,"Martins Ferry, OH",10,569,Penguin
217,The Letter,Tecla Emerson,4.5,8,,Lexington,9,9,
218,Friction in Motion,Sy Kadella,4.81,36,male,,1,1,Razors Edge
219,Eliot,Dr. Michael Wood,3.96,27,male,Baltimore,5,5,CreateSpace
220,The Irish Cowboy,D.W. Ulsterman,4.36,1085,,,10,80,
221,"Hollywood Dirt (Hollywood Dirt, #1)",Alessandra Torre,4.1,27300,female,"Destin, Florida",10,41,Amazon Digital Services
222,"Come Away with Me (With Me in Seattle, #1)",Kristen Proby,3.92,58146,female,,10,74,Kristen Proby Publishing
223,"The Nevermore Trilogy (The Nevermore Trilogy, #1-3)",Shannon Mayer,4.12,338,female,,10,74,Smashwords
224,Love Starts with Elle,Rachel Hauck,4.17,1864,female,,10,51,Thomas Nelson Publishers
225,"Ritual (Jack Caffery, #3)",Mo Hayder,3.75,6791,female,Essex,10,14,Random house
